2017-03-26 21:20:29,221 [Worker-19] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: Mercadoria:Mercadoria:0.0.1-SNAPSHOT @ D:\Dev\repositorios\negociacao-mercadorias\Mercadoria\pom.xml.
2017-03-26 21:20:30,844 [Worker-19] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /Mercadoria/src
2017-03-26 21:20:30,845 [Worker-19] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /Mercadoria/src/test/java because it overlaps with /Mercadoria/src
2017-03-26 21:20:31,294 [Worker-19] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2017-03-26 21:20:31,769 [Worker-19] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: Mercadoria:Mercadoria:0.0.1-SNAPSHOT @ D:\Dev\repositorios\negociacao-mercadorias\Mercadoria\pom.xml.
2017-03-26 21:20:32,862 [Worker-19] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /Mercadoria/src
2017-03-26 21:20:32,865 [Worker-19] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /Mercadoria/src/test/java because it overlaps with /Mercadoria/src
2017-03-26 21:20:33,187 [Worker-19] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for Mercadoria
2017-03-26 21:20:33,216 [Worker-19] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 1 sec
2017-03-26 21:20:33,445 [Worker-24] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-26 21:20:33,460 [Worker-24] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Dev\repositorios\negociacao-mercadorias\Mercadoria\src\main\resources
